full_original_html,original_row_id,marked_for_review,remarks,allen_issue,gpt_issue,labelled_html,full_error_html,List_of_names,processed_html
" <div align=""justify"">The percentage of natural numbers form 10 to 99 both inclusive which are the product of consecutive natural numbers is</div><br/><br/><br/><img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image0331014762002.png"" style=""vertical-align: middle""/><br/><img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image0351498750258.png"" style=""vertical-align: middle""/><br/>10<br/>9",4416,0,,False,False,"<div align=""justify"">The percentage of natural numbers form 10 to 99 both inclusive which are the product of consecutive natural numbers is</div><br/><br/><br/><img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image0331014762002.png"" style=""vertical-align: middle""/><br/><img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image0351498750258.png"" style=""vertical-align: middle""/><br/>10<br/>9","<div align=""justify"">The percentage of natural numbers form 10 to 99 both inclusive which are the product of consecutive natural numbers is</div><br/><br/><br/><img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image0331014762002.png"" style=""vertical-align: middle""/><br/><img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image0351498750258.png"" style=""vertical-align: middle""/><br/>10<br/>9","[""natural numbers""]","<div align=""justify"">The percentage of [NAME]natural numbers[/NAME] form 10 to 99 both inclusive which are the product of consecutive [NAME]natural numbers[/NAME] is</div><br/><br/><br/><img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image0331014762002.png"" style=""vertical-align: middle""/><br/><img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image0351498750258.png"" style=""vertical-align: middle""/><br/>10<br/>9"
" <b>Question Figure<br/></b><img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image041896061775.png"" style=""vertical-align: middle""/><br/><b>Answer Figure</b><br/><img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image043296857815.png"" style=""vertical-align: middle""/><br/><br/><br/><br/>1<br/>2<br/>3<br/>4",2435,0,,False,False,"<b>Question Figure<br/></b><img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image041896061775.png"" style=""vertical-align: middle""/><br/><b>Answer Figure</b><br/><img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image043296857815.png"" style=""vertical-align: middle""/><br/><br/><br/><br/>
1<br/>2<br/>3<br/>4","<b>Question Figure<br/></b><img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image041896061775.png"" style=""vertical-align: middle""/><br/><b>Answer Figure</b><br/><img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image043296857815.png"" style=""vertical-align: middle""/><br/><br/><br/><br/>
1<br/>2<br/>3<br/>4",Output: [],"<b>Question Figure<br/></b><img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image041896061775.png"" style=""vertical-align: middle""/><br/><b>Answer Figure</b><br/><img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image043296857815.png"" style=""vertical-align: middle""/><br/><br/><br/><br/>
1<br/>2<br/>3<br/>4"
"<div style=""text-align:justify"">In an LC oscillations, charge on the capacitor is Q and the current in the circuit is I such that the energy stored in the capacitor is equal to that in the inductor at that instant. The time period of the electrical oscillations will be :</div>
<br/><br/><br/><img alt=""2\pi \frac{Q}{I}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15096197881590861045.png""/><br/><img alt=""2\pi \sqrt {\frac{I}{Q}} "" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15096197921787211403.png""/><br/><img alt=""2\pi \sqrt {\frac{Q}{I}} "" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1509619803322289130.png""/><br/><img alt=""2\pi \frac{I}{Q}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15096198101845120181.png""/>",751,0,,False,False,"<div style=""text-align:justify"">In an [EXP]LC[/EXP] oscillations, charge on the capacitor is [EXP]Q[/EXP] and the current in the circuit is [EXP]I[/EXP] such that the energy stored in the capacitor is equal to that in the inductor at that instant. The time period of the electrical oscillations will be :</div>
<br/><br/><br/><img alt=""[EXP]2\pi \frac{Q}{I}[/EXP]"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15096197881590861045.png""/><br/><img alt=""[EXP]2\pi \sqrt {\frac{I}{Q}} [/EXP]"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15096197921787211403.png""/><br/><img alt=""[EXP]2\pi \sqrt {\frac{Q}{I}} [/EXP]"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1509619803322289130.png""/><br/><img alt=""[EXP]2\pi \frac{I}{Q}[/EXP]"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15096198101845120181.png""/>","<div style=""text-align:justify"">In an [EXP]LC[/EXP] oscillations, charge on the capacitor is [EXP]Q[/EXP] and the current in the circuit is [EXP]I[/EXP] such that the energy stored in the capacitor is equal to that in the inductor at that instant. The time period of the electrical oscillations will be :</div>
<br/><br/><br/><img alt=""[EXP]2\pi \frac{Q}{I}[/EXP]"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15096197881590861045.png""/><br/><img alt=""[EXP]2\pi \sqrt {\frac{I}{Q}} [/EXP]"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15096197921787211403.png""/><br/><img alt=""[EXP]2\pi \sqrt {\frac{Q}{I}} [/EXP]"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1509619803322289130.png""/><br/><img alt=""[EXP]2\pi \frac{I}{Q}[/EXP]"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15096198101845120181.png""/>","[""LC oscillations""]","<div style=""text-align:justify"">In an [EXP]LC[/EXP] oscillations, charge on the capacitor is [EXP]Q[/EXP] and the current in the circuit is [EXP]I[/EXP] such that the energy stored in the capacitor is equal to that in the inductor at that instant. The time period of the electrical oscillations will be :</div>
<br/><br/><br/><img alt=""2\pi \frac{Q}{I}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15096197881590861045.png""/><br/><img alt=""2\pi \sqrt {\frac{I}{Q}} "" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15096197921787211403.png""/><br/><img alt=""2\pi \sqrt {\frac{Q}{I}} "" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1509619803322289130.png""/><br/><img alt=""2\pi \frac{I}{Q}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15096198101845120181.png""/>"
"<div style=""text-align:justify"">If another experiment is carried out such that initially all the particles of radius (0.1Å) are in gaseous phase. at initial pressure of 2 atm in a <img alt=""2\sqrt 3 "" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1510730518285812921.png""/> L vessel at 27ºC. If square two dimensional packing occured on entire surface of the catalyst (given above), find final pressure inside the vessel : <br/>
N<sub>A</sub> = 6 × 10<sup>23</sup> : Use R = 0.08 L-atm mol<sup>–1</sup>K<sup>–1</sup>  </div>
<br/><br/><br/>0.5 atm  <br/>1 atm  <br/>1.5 atm  <br/>0.25 atm",1080,0,,False,False,"<div style=""text-align:justify"">If another experiment is carried out such that initially all the particles of radius [EXP](0.1Å)[/EXP] are in gaseous phase. at initial pressure of [EXP]2 atm[/EXP] in a[EXP] <img alt=""2\sqrt 3 "" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1510730518285812921.png""/> L[/EXP] vessel at [EXP]27ºC[/EXP]. If square two dimensional packing occured on entire surface of the catalyst (given above), find final pressure inside the vessel : <br/>
[EXP]N<sub>A</sub> = 6 × 10<sup>23</sup>[/EXP] : Use [EXP]R = 0.08 L-atm mol<sup>–1</sup>K<sup>–1</sup>[/EXP]  </div>
<br/><br/><br/>[EXP]0.5 atm[/EXP]  <br/>[EXP]1 atm[/EXP]  <br/>[EXP]1.5 atm[/EXP]  <br/>[EXP]0.25 atm[/EXP]","<div style=""text-align:justify"">If another experiment is carried out such that initially all the particles of radius [EXP](0.1Å)[/EXP] are in gaseous phase. at initial pressure of [EXP]2 atm[/EXP] in a[EXP] <img alt=""2\sqrt 3 "" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1510730518285812921.png""/> L[/EXP] vessel at [EXP]27ºC[/EXP]. If square two dimensional packing occured on entire surface of the catalyst (given above), find final pressure inside the vessel : <br/>
[EXP]N<sub>A</sub> = 6 × 10<sup>23</sup>[/EXP] : Use [EXP]R = 0.08 L-atm mol<sup>–1</sup>K<sup>–1</sup>[/EXP]  </div>
<br/><br/><br/>[EXP]0.5 atm[/EXP]  <br/>[EXP]1 atm[/EXP]  <br/>[EXP]1.5 atm[/EXP]  <br/>[EXP]0.25 atm[/EXP]","[""NA"", ""R""]","<div style=""text-align:justify"">If another experiment is carried out such that initially all the particles of radius [EXP](0.1Å)[/EXP] are in gaseous phase. at initial pressure of [EXP]2 atm[/EXP] in a [EXP]2\sqrt 3[/EXP] [EXP]L [/EXP]vessel at [EXP]27ºC[/EXP]. If square two dimensional packing occured on entire surface of the catalyst (given above), find final pressure inside the vessel : <br/>
[EXP]N<sub>A</sub> = 6 × 10<sup>23</sup>[/EXP] : Use [EXP]R = 0.08 L-atm mol<sup>–1</sup>K<sup>–1</sup>[/EXP]  </div>
<br/><br/><br/>[EXP]0.5 atm[/EXP]  <br/>[EXP]1 atm[/EXP]  <br/>[EXP]1.5 atm[/EXP]  <br/>[EXP]0.25 atm[/EXP]"
" <div style=""text-align: justify;"">A 1.00 × 10<sup>–20</sup> kg particle is vibrating with simple harmonic motion with a period of 1.00 × 10<sup>–5</sup> s and a maximum speed of 1.00 × 10<sup>3</sup> m/s. The maximum displacement of the particle is :</div><br/><br/><br/>1.59 mm <br/><br/>1.00 m<br/><br/>10 m <br/><br/>None of these",4861,0,,False,False,"<div style=""text-align: justify;"">A [EXP]1.00 × 10<sup>–20</sup> kg[/EXP] particle is vibrating with simple harmonic motion with a period of [EXP]1.00 × 10<sup>–5</sup> s[/EXP] and a maximum speed of [EXP]1.00 × 10<sup>3</sup> m/s[/EXP]. The maximum displacement of the particle is :</div><br/><br/><br/>[EXP]1.59 mm [/EXP]<br/><br/>[EXP]1.00 m[/EXP]<br/><br/>[EXP]10 m [/EXP]<br/><br/>None of these","<div style=""text-align: justify;"">A [EXP]1.00 × 10<sup>–20</sup> kg[/EXP] particle is vibrating with simple harmonic motion with a period of [EXP]1.00 × 10<sup>–5</sup> s[/EXP] and a maximum speed of [EXP]1.00 × 10<sup>3</sup> m/s[/EXP]. The maximum displacement of the particle is :</div><br/><br/><br/>[EXP]1.59 mm [/EXP]<br/><br/>[EXP]1.00 m[/EXP]<br/><br/>[EXP]10 m [/EXP]<br/><br/>None of these","[""simple harmonic motion""]","<div style=""text-align: justify;"">A [EXP]1.00 × 10<sup>–20</sup> kg[/EXP] particle is vibrating with [NAME]simple harmonic motion[/NAME] with a period of [EXP]1.00 × 10<sup>–5</sup> s[/EXP] and a maximum speed of [EXP]1.00 × 10<sup>3</sup> m/s[/EXP]. The maximum displacement of the particle is :</div><br/><br/><br/>[EXP]1.59 mm [/EXP]<br/><br/>[EXP]1.00 m[/EXP]<br/><br/>[EXP]10 m [/EXP]<br/><br/>None of these"
 Example of longitudinal waves are<br/><br/><br/>Waves produced on water surface<br/>Waves produced on string<br/>Sound wave in a medium<br/>Both (1) and (3),4393,0,,False,False,Example of longitudinal waves are<br/><br/><br/>Waves produced on water surface<br/>Waves produced on string<br/>Sound wave in a medium<br/>Both (1) and (3),Example of longitudinal waves are<br/><br/><br/>Waves produced on water surface<br/>Waves produced on string<br/>Sound wave in a medium<br/>Both (1) and (3),"[""longitudinal waves"", ""sound wave""]",Example of [NAME]longitudinal waves[/NAME] are<br/><br/><br/>Waves produced on water surface<br/>Waves produced on string<br/>Sound wave in a medium<br/>Both (1) and (3)
 What is the general formula for an ether?<br/><br/><br/>R–X<br/>R–OH<br/>Ar–OH<br/>R–O–R,2340,0,,False,False,What is the general formula for an ether?<br/><br/><br/>[EXP]R–X[/EXP]<br/>[EXP]R–OH[/EXP]<br/>[EXP]Ar–OH[/EXP]<br/>[EXP]R–O–R[/EXP],,"[""ether""]",What is the general formula for an [NAME]ether[/NAME]?<br/><br/><br/>[EXP]R–X[/EXP]<br/>[EXP]R–OH[/EXP]<br/>[EXP]Ar–OH[/EXP]<br/>[EXP]R–O–R[/EXP]
"<div style=""text-align:justify"">If the linear density of a rod of length 3m varies as λ = 2 + x, then the position of centre of mass of the rod from origin is (given that rod is placed on positive x-axis, with one end at origin) :</div><br/><br/><br/><img alt=""\frac{7}{3}m"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15045875931130811979.png""/><br/><img alt=""\frac{{12}}{7}m"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15045875991603486538.png""/><br/><img alt=""\frac{{10}}{7}m"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15045876061628099594.png""/><br/><img alt=""\frac{9}{7}m"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15045876121494231614.png""/>",3081,0,,False,False,"<div style=""text-align:justify"">If the linear density of a rod of length [EXP]3m[/EXP] varies as [EXP]λ = 2 + x[/EXP], then the position of centre of mass of the rod from origin is (given that rod is placed on positive x-axis, with one end at origin) :</div><br/><br/><br/><img alt=""[EXP]\frac{7}{3}m[/EXP]"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15045875931130811979.png""/><br/><img alt=""[EXP]\frac{{12}}{7}m[/EXP]"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15045875991603486538.png""/><br/><img alt=""[EXP]\frac{{10}}{7}m[/EXP]"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15045876061628099594.png""/><br/><img alt=""[EXP]\frac{9}{7}m[/EXP]"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15045876121494231614.png""/>","<div style=""text-align:justify"">If the linear density of a rod of length [EXP]3m[/EXP] varies as [EXP]λ = 2 + x[/EXP], then the position of centre of mass of the rod from origin is (given that rod is placed on positive x-axis, with one end at origin) :</div><br/><br/><br/><img alt=""[EXP]\frac{7}{3}m[/EXP]"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15045875931130811979.png""/><br/><img alt=""[EXP]\frac{{12}}{7}m[/EXP]"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15045875991603486538.png""/><br/><img alt=""[EXP]\frac{{10}}{7}m[/EXP]"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15045876061628099594.png""/><br/><img alt=""[EXP]\frac{9}{7}m[/EXP]"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15045876121494231614.png""/>","[""centre of mass""]","<div style=""text-align:justify"">If the linear density of a rod of length [EXP]3m[/EXP] varies as [EXP]λ = 2 + x[/EXP], then the position of [NAME]centre of mass[/NAME] of the rod from origin is (given that rod is placed on positive [EXP]x-axis[/EXP], with one end at origin) :</div><br/><br/><br/><img alt=""\frac{7}{3}m"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15045875931130811979.png""/><br/><img alt=""\frac{{12}}{7}m"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15045875991603486538.png""/><br/><img alt=""\frac{{10}}{7}m"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15045876061628099594.png""/><br/><img alt=""\frac{9}{7}m"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15045876121494231614.png""/>"
"<div style=""text-align:justify"">Three large thick conducting sheets are placed parallel to each other as shown, charge on plates are 20 µC, –5 µC and – 15 µC and seperation between them is 1 cm and 2 cm respectively. Find the ratio of electric field at B to that of electric field at  A <img alt=""\left[ {\frac{{{E_B}}}{{{E_A}}}} \right]"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15093432721671019667.png"" style=""text-align:justify""/> :-</div>
<div style=""text-align:center""><img src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1509343614php48XBzcimage.png"" style=""height:132.997px; width:292.955px""/></div>
<br/><br/>",993,0,,False,False,"<div style=""text-align:justify"">Three large thick conducting sheets are placed parallel to each other as shown, charge on plates are [EXP]20 µC[/EXP], [EXP]–5 µC[/EXP] and [EXP]– 15 µC[/EXP] and seperation between them is [EXP]1 cm[/EXP] and [EXP]2 cm[/EXP] respectively. Find the ratio of electric field at B to that of electric field at  A <img alt=""\left[ {\frac{{{E_B}}}{{{E_A}}}} \right]"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15093432721671019667.png"" style=""text-align:justify""/> :-</div>
<div style=""text-align:center""><img src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1509343614php48XBzcimage.png"" style=""height:132.997px; width:292.955px""/></div>
<br/><br/>",,"[""electric field""]","<div style=""text-align:justify"">Three large thick conducting sheets are placed parallel to each other as shown, charge on plates are [EXP]20 µC[/EXP], [EXP]–5 µC[/EXP] and [EXP]– 15 µC[/EXP] and seperation between them is [EXP]1 cm[/EXP] and [EXP]2 cm[/EXP] respectively. Find the ratio of [NAME]electric field[/NAME] at [EXP]B[/EXP] to that of [NAME]electric field[/NAME] at  [EXP]A <img alt=""\left[ {\frac{{{E_B}}}{{{E_A}}}} \right]"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15093432721671019667.png"" style=""text-align:justify""/>[/EXP] :-</div>
<div style=""text-align:center""><img src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1509343614php48XBzcimage.png"" style=""height:132.997px; width:292.955px""/></div>
<br/><br/>"
"<div style=""text-align:justify"">Two bodies of mass 1 kg and 3 kg have position vectors <img alt=""\hat i + 2\hat j + \hat k"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1632306372780670235.png""/> and <img alt="" - 3\hat i - 2\hat j + \hat k"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/16323063861118095209.png""/>, respectively. The centre of mass of this system has a position vector :-</div>
<br/><br/><br/><img alt="" - \hat i + \hat j + \hat k"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/16323064021560031062.png""/><br/><img alt="" - 2\hat i + 2\hat k"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/16323064221665498112.png""/><br/><img alt="" - 2\hat i - \hat j + \hat k"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/16323064341115719925.png""/><br/><img alt=""2\hat i - \hat j - 2\hat k"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/16323064561853267277.png""/>",2367,0,,False,False,"<div style=""text-align:justify"">Two bodies of mass [EXP]1 kg[/EXP] and [EXP]3 kg[/EXP] have position vectors&nbsp;<img alt=""[EXP]\hat i + 2\hat j + \hat k[/EXP]"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1632306372780670235.png""/> and <img alt=""[EXP] - 3\hat i - 2\hat j + \hat k[/EXP]"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/16323063861118095209.png""/>, respectively. The centre of mass of this system has a position vector :-</div>
<br/><br/><br/><img alt=""[EXP] - \hat i + \hat j + \hat k[/EXP]"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/16323064021560031062.png""/><br/><img alt=""[EXP] - 2\hat i + 2\hat k[/EXP]"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/16323064221665498112.png""/><br/><img alt=""[EXP] - 2\hat i - \hat j + \hat k[/EXP]"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/16323064341115719925.png""/><br/><img alt=""[EXP]2\hat i - \hat j - 2\hat k[/EXP]"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/16323064561853267277.png""/>",,"[""centre of mass""]","<div style=""text-align:justify"">Two bodies of mass [EXP]1 kg[/EXP] and [EXP]3 kg[/EXP] have position vectors&nbsp;<img alt=""\hat i + 2\hat j + \hat k"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1632306372780670235.png""/> and <img alt="" - 3\hat i - 2\hat j + \hat k"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/16323063861118095209.png""/>, respectively. The [NAME]centre of mass[/NAME] of this system has a position vector :-</div>
<br/><br/><br/><img alt="" - \hat i + \hat j + \hat k"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/16323064021560031062.png""/><br/><img alt="" - 2\hat i + 2\hat k"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/16323064221665498112.png""/><br/><img alt="" - 2\hat i - \hat j + \hat k"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/16323064341115719925.png""/><br/><img alt=""2\hat i - \hat j - 2\hat k"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/16323064561853267277.png""/>"
"  Choose the correct set of bacterial disease :<br/><br/><br/>Mumps, cholera, Dengue<br/>Chicken pox, Typhoid, Mumps<br/>Mumps, Tetanus, Chicken pox<br/>Cholera, Typhoid, Tetanus",1652,0,,False,False,"Choose the correct set of bacterial disease :<br/><br/><br/>Mumps, cholera, Dengue<br/>Chicken pox, Typhoid, Mumps<br/>Mumps, Tetanus, Chicken pox<br/>Cholera, Typhoid, Tetanus","Choose the correct set of bacterial disease :<br/><br/><br/>Mumps, cholera, Dengue<br/>Chicken pox, Typhoid, Mumps<br/>Mumps, Tetanus, Chicken pox<br/>Cholera, Typhoid, Tetanus","[""Mumps"", ""Cholera"", ""Dengue"", ""Chicken pox"", ""Typhoid"", ""Tetanus""]","Choose the correct set of bacterial disease :<br/><br/><br/>[NAME]Mumps[/NAME], cholera, [NAME]Dengue[/NAME]<br/>[NAME]Chicken pox[/NAME], [NAME]Typhoid[/NAME], [NAME]Mumps[/NAME]<br/>[NAME]Mumps[/NAME], [NAME]Tetanus[/NAME], [NAME]Chicken pox[/NAME]<br/>[NAME]Cholera[/NAME], [NAME]Typhoid[/NAME], [NAME]Tetanus[/NAME]"
"<div style=""text-align:justify"">A particle is projected at an angle θ above the horizontal with a speed u. After some time the direction of its velocity makes an angle ϕ above the horizontal. The speed of the particle at this instant is</div>
<br/><br/><br/><img alt=""u\cos \theta "" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1505125426952211322.png""/><br/><img alt=""\frac{{u\cos \theta }}{{\cos \phi }}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15051254431066479284.png""/><br/><img alt=""\frac{{u\sin \theta }}{{\sin \phi }}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15051254501277260379.png""/><br/><img alt=""u\cos \phi "" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15051254581417417676.png""/>",433,0,,False,False,"<div style=""text-align:justify"">A particle is projected at an angle [EXP]θ[/EXP] above the horizontal with a speed [EXP]u[/EXP]. After some time the direction of its velocity makes an angle [EXP]ϕ[/EXP] above the horizontal. The speed of the particle at this instant is</div>
<br/><br/><br/><img alt=""[EXP]u\cos \theta [/EXP]"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1505125426952211322.png""/><br/><img alt=""[EXP]\frac{{u\cos \theta }}{{\cos \phi }}[/EXP]"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15051254431066479284.png""/><br/><img alt=""[EXP]\frac{{u\sin \theta }}{{\sin \phi }}[/EXP]"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15051254501277260379.png""/><br/><img alt=""[EXP]u\cos \phi [/EXP]"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15051254581417417676.png""/>",,"[""particle""]","<div style=""text-align:justify"">A [NAME]particle[/NAME] is projected at an angle [EXP]θ[/EXP] above the horizontal with a speed [EXP]u[/EXP]. After some time the direction of its velocity makes an angle [EXP]ϕ[/EXP] above the horizontal. The speed of the [NAME]particle[/NAME] at this instant is</div><br/><br/><br/><img alt=""u\cos \theta "" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1505125426952211322.png""/><br/><img alt=""\frac{{u\cos \theta }}{{\cos \phi }}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15051254431066479284.png""/><br/><img alt=""\frac{{u\sin \theta }}{{\sin \phi }}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15051254501277260379.png""/><br/><img alt=""u\cos \phi "" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15051254581417417676.png""/>
"
